longitude,latitude,M13_log
58.846485,-34.256435,-0.6502611884010344
58.854893,-34.257797,-0.6502611884010344
58.863308,-34.25916,-0.6410066631603596
58.88853,-34.263237,-0.6502611884010344
58.91377,-34.267307,-0.6471668206428753
58.92217,-34.268665,-0.6471668206428753
58.930573,-34.27002,-0.6533651609996125
58.93898,-34.271374,-0.6471668206428753
58.947388,-34.272728,-0.6502611884010344
58.955795,-34.274082,-0.6471668206428753
58.964195,-34.27543,-0.6502611884010344
58.9726,-34.276783,-0.6502611884010344
58.981007,-34.27813,-0.6502611884010344
58.989407,-34.279484,-0.6533651609996125
58.997807,-34.28083,-0.6502611884010344
59.006203,-34.282177,-0.6471668206428753
59.014603,-34.283524,-0.6471668206428753
59.023006,-34.284874,-0.6471668206428753
59.0314,-34.286217,-0.6440819984665913
59.039795,-34.28756,-0.6471668206428753
59.048195,-34.288906,-0.6533651609996125
59.056595,-34.290253,-0.6502611884010344
59.064995,-34.29159,-0.6440819984665913
59.073376,-34.292934,-0.6471668206428753
59.08177,-34.294273,-0.6471668206428753
59.090164,-34.295616,-0.6502611884010344
59.098568,-34.296955,-0.6502611884010344
59.106968,-34.298298,-0.6502611884010344
59.115356,-34.299633,-0.6502611884010344
59.12374,-34.300972,-0.6533651609996125
59.132145,-34.30231,-0.6471668206428753
59.140537,-34.303646,-0.6533651609996125
59.148933,-34.30498,-0.6533651609996125
59.157314,-34.306316,-0.6533651609996125
59.165707,-34.307648,-0.6502611884010344
59.174103,-34.308983,-0.6502611884010344
59.18249,-34.310314,-0.6502611884010344
59.190876,-34.311646,-0.6533651609996125
59.199272,-34.312977,-0.6533651609996125
59.207664,-34.314312,-0.6533651609996125
56.371246,-33.834637,-0.6533651609996125
56.427948,-33.845078,-0.6533651609996125
56.4562,-33.85028,-0.6533651609996125
56.4844,-33.85545,-0.6533651609996125
56.81821,-33.916187,-0.6533651609996125
56.827362,-33.917843,-0.6410066631603596
56.83652,-33.91948,-0.6410066631603596
56.84567,-33.92113,-0.6440819984665913
56.85482,-33.922775,-0.6379407565523733
56.863953,-33.924427,-0.6410066631603596
56.873085,-33.926075,-0.6410066631603596
56.882214,-33.927723,-0.6410066631603596
56.891335,-33.929356,-0.6440819984665913
56.90046,-33.93099,-0.6440819984665913
56.909565,-33.93263,-0.6440819984665913
56.918674,-33.93427,-0.6440819984665913
56.927773,-33.935898,-0.6410066631603596
56.936874,-33.937527,-0.6410066631603596
56.945957,-33.93916,-0.6410066631603596
56.95504,-33.94079,-0.6379407565523733
56.96412,-33.942413,-0.6410066631603596
56.973194,-33.94403,-0.6379407565523733
56.98226,-33.94566,-0.6379407565523733
56.991314,-33.94728,-0.6410066631603596
57.000374,-33.9489,-0.6410066631603596
57.009426,-33.950516,-0.6348842210042397
57.01847,-33.952137,-0.6410066631603596
57.02751,-33.95375,-0.6410066631603596
57.03655,-33.95537,-0.6410066631603596
57.045574,-33.956974,-0.6440819984665913
57.054607,-33.95858,-0.6471668206428753
57.063637,-33.960182,-0.6471668206428753
57.07264,-33.961796,-0.6471668206428753
57.081665,-33.963394,-0.6471668206428753
57.411762,-34.021652,-0.6502611884010344
57.42942,-34.024754,-0.6440819984665913
57.45588,-34.029366,-0.6410066631603596
57.4647,-34.03091,-0.6440819984665913
57.4735,-34.03244,-0.6471668206428753
57.48231,-34.033974,-0.6410066631603596
57.49113,-34.035515,-0.6471668206428753
57.50871,-34.03858,-0.6440819984665913
57.543858,-34.04469,-0.6410066631603596
57.552628,-34.04621,-0.6440819984665913
57.561398,-34.047737,-0.6471668206428753
57.570164,-34.04926,-0.6440819984665913
57.657635,-34.06441,-0.6379407565523733
57.66637,-34.06591,-0.6410066631603596
57.675102,-34.06742,-0.6348842210042397
57.68381,-34.068928,-0.6379407565523733
57.770832,-34.083897,-0.6348842210042397
57.788197,-34.086876,-0.6318369994044779
57.796864,-34.088367,-0.6318369994044779
57.80553,-34.08986,-0.6348842210042397
57.814205,-34.09134,-0.6410066631603596
57.98694,-34.12079,-0.6533651609996125
58.098595,-34.13968,-0.6410066631603596
58.10715,-34.14113,-0.6318369994044779
58.11573,-34.14257,-0.6318369994044779
58.124294,-34.144016,-0.6318369994044779
58.132854,-34.145462,-0.6287990351621162
58.14141,-34.1469,-0.6348842210042397
58.149963,-34.14834,-0.6287990351621162
58.158527,-34.149773,-0.6348842210042397
58.192726,-34.15552,-0.6318369994044779
