longitude,latitude,M13_log,threshold,granule_key,source_vnp02,source_vnp03,geometry,Dzongkhag,cluster
91.22795104980469,27.153507232666016,0.37068458796180354,-0.2808635355638259,2023099.1936,VNP02MOD.A2023099.1936.002.2023100022902.nc,VNP03MOD.A2023099.1936.002.2023100021212.nc,POINT (91.22795104980469 27.153507232666016),Monggar,0
91.22955322265625,27.147357940673828,2.5724461265557035,0.2570963750071593,2023100.0654,VNP02MOD.A2023100.0654.002.2023100141248.nc,VNP03MOD.A2023100.0654.002.2023100135443.nc,POINT (91.22955322265625 27.147357940673828),Monggar,0
91.22196960449219,27.14605140686035,1.609580768882091,0.2570963750071593,2023100.0654,VNP02MOD.A2023100.0654.002.2023100141248.nc,VNP03MOD.A2023100.0654.002.2023100135443.nc,POINT (91.22196960449219 27.14605140686035),Monggar,0
91.22782135009766,27.15424919128418,0.2585611653909397,0.2570963750071593,2023100.0654,VNP02MOD.A2023100.0654.002.2023100141248.nc,VNP03MOD.A2023100.0654.002.2023100135443.nc,POINT (91.22782135009766 27.15424919128418),Monggar,0
91.20759582519531,27.1807804107666,0.735254861812567,0.2570963750071593,2023100.0654,VNP02MOD.A2023100.0654.002.2023100141248.nc,VNP03MOD.A2023100.0654.002.2023100135443.nc,POINT (91.20759582519531 27.1807804107666),Monggar,0
91.21227264404297,27.188987731933594,-0.20100484913385558,-0.2784344476896572,2023100.1918,VNP02MOD.A2023100.1918.002.2023101020916.nc,VNP03MOD.A2023100.1918.002.2023101015212.nc,POINT (91.21227264404297 27.188987731933594),Monggar,0
91.21918487548828,27.139726638793945,0.8590790488866742,-0.2784344476896572,2023100.1918,VNP02MOD.A2023100.1918.002.2023101020916.nc,VNP03MOD.A2023100.1918.002.2023101015212.nc,POINT (91.21918487548828 27.139726638793945),Monggar,0
91.22921752929688,27.138526916503906,-0.21695198693114387,-0.2784344476896572,2023100.1918,VNP02MOD.A2023100.1918.002.2023101020916.nc,VNP03MOD.A2023100.1918.002.2023101015212.nc,POINT (91.22921752929688 27.138526916503906),Monggar,0
91.22481536865234,27.18625259399414,1.246648516585346,1.1690339918164714,2023101.0630,VNP02MOD.A2023101.0630.002.2023101172610.nc,VNP03MOD.A2023101.0630.002.2023101170924.nc,POINT (91.22481536865234 27.18625259399414),Monggar,0
91.21707153320312,27.18462562561035,1.9948246901577185,1.1690339918164714,2023101.0630,VNP02MOD.A2023101.0630.002.2023101172610.nc,VNP03MOD.A2023101.0630.002.2023101170924.nc,POINT (91.21707153320312 27.18462562561035),Monggar,0
91.22301483154297,27.19518280029297,1.413297059957595,1.1690339918164714,2023101.0630,VNP02MOD.A2023101.0630.002.2023101172610.nc,VNP03MOD.A2023101.0630.002.2023101170924.nc,POINT (91.22301483154297 27.19518280029297),Monggar,0
91.21757507324219,27.02850341796875,-0.837137680077291,-0.837137680077291,2023101.1900,VNP02MOD.A2023101.1900.002.2023102014804.nc,VNP03MOD.A2023101.1900.002.2023102012920.nc,POINT (91.21757507324219 27.02850341796875),Monggar,0
91.2071533203125,27.01865005493164,-0.837137680077291,-0.837137680077291,2023101.1900,VNP02MOD.A2023101.1900.002.2023102014804.nc,VNP03MOD.A2023101.1900.002.2023102012920.nc,POINT (91.2071533203125 27.01865005493164),Monggar,0
91.21145629882812,27.018278121948242,-0.837137680077291,-0.837137680077291,2023101.1900,VNP02MOD.A2023101.1900.002.2023102014804.nc,VNP03MOD.A2023101.1900.002.2023102012920.nc,POINT (91.21145629882812 27.018278121948242),Monggar,0
91.16131591796875,27.01186752319336,-0.837137680077291,-0.837137680077291,2023101.1900,VNP02MOD.A2023101.1900.002.2023102014804.nc,VNP03MOD.A2023101.1900.002.2023102012920.nc,POINT (91.16131591796875 27.01186752319336),Monggar,0
91.1985092163086,27.00864028930664,-0.837137680077291,-0.837137680077291,2023101.1900,VNP02MOD.A2023101.1900.002.2023102014804.nc,VNP03MOD.A2023101.1900.002.2023102012920.nc,POINT (91.1985092163086 27.00864028930664),Monggar,0
91.1951904296875,27.20686912536621,-1.0033986602647385,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.1951904296875 27.20686912536621),Monggar,0
91.16045379638672,27.011751174926758,-1.0033986602647385,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.16045379638672 27.011751174926758),Monggar,0
91.17475891113281,27.007801055908203,-0.9902502672057671,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.17475891113281 27.007801055908203),Monggar,0
91.19316864013672,27.002702713012695,-1.0033986602647385,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.19316864013672 27.002702713012695),Monggar,0
91.13676452636719,26.988676071166992,-1.0033986602647385,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.13676452636719 26.988676071166992),Monggar,0
91.16423034667969,26.9895076751709,-1.0033986602647385,-1.0033986602647385,2023101.2036,VNP02MOD.A2023101.2036.002.2023102054506.nc,VNP03MOD.A2023101.2036.002.2023102050818.nc,POINT (91.16423034667969 26.9895076751709),Monggar,0
91.24907684326172,27.124433517456055,-0.18142203100402043,-0.18805950590511966,2023102.0612,VNP02MOD.A2023102.0612.002.2023106234443.nc,VNP03MOD.A2023102.0612.002.2023106231049.nc,POINT (91.24907684326172 27.124433517456055),Monggar,0
91.23429870605469,27.120784759521484,0.5071886580805072,-0.18805950590511966,2023102.0612,VNP02MOD.A2023102.0612.002.2023106234443.nc,VNP03MOD.A2023102.0612.002.2023106231049.nc,POINT (91.23429870605469 27.120784759521484),Monggar,0
91.22351837158203,27.118118286132812,0.26726586858107493,-0.18805950590511966,2023102.0612,VNP02MOD.A2023102.0612.002.2023106234443.nc,VNP03MOD.A2023102.0612.002.2023106231049.nc,POINT (91.22351837158203 27.118118286132812),Monggar,0
91.2314682006836,27.114749908447266,0.15606471194411756,0.07477110355955913,2023102.0754,VNP02MOD.A2023102.0754.002.2023106234558.nc,VNP03MOD.A2023102.0754.002.2023106230934.nc,POINT (91.2314682006836 27.114749908447266),Monggar,0
91.23304748535156,27.1148624420166,0.16844165132838207,0.07477110355955913,2023102.0754,VNP02MOD.A2023102.0754.002.2023106234558.nc,VNP03MOD.A2023102.0754.002.2023106230934.nc,POINT (91.23304748535156 27.1148624420166),Monggar,0
91.33585357666016,27.57119369506836,-1.7953842983551385,-1.7957384033134716,2023102.1836,VNP02MOD.A2023102.1836.002.2023107000444.nc,VNP03MOD.A2023102.1836.002.2023106232824.nc,POINT (91.33585357666016 27.57119369506836),Monggar,0
91.1971206665039,26.99884605407715,-0.9602267464819215,-0.9602267464819215,2023102.1842,VNP02MOD.A2023102.1842.002.2023107000511.nc,VNP03MOD.A2023102.1842.002.2023106232831.nc,POINT (91.1971206665039 26.99884605407715),Monggar,0
91.11946105957031,26.988800048828125,-0.9602267464819215,-0.9602267464819215,2023102.1842,VNP02MOD.A2023102.1842.002.2023107000511.nc,VNP03MOD.A2023102.1842.002.2023106232831.nc,POINT (91.11946105957031 26.988800048828125),Monggar,0
91.13236999511719,26.988140106201172,-0.9602267464819215,-0.9602267464819215,2023102.1842,VNP02MOD.A2023102.1842.002.2023107000511.nc,VNP03MOD.A2023102.1842.002.2023106232831.nc,POINT (91.13236999511719 26.988140106201172),Monggar,0
91.1621322631836,26.98659324645996,-0.9602267464819215,-0.9602267464819215,2023102.1842,VNP02MOD.A2023102.1842.002.2023107000511.nc,VNP03MOD.A2023102.1842.002.2023106232831.nc,POINT (91.1621322631836 26.98659324645996),Monggar,0
